,요일,피해운전자 성별,연령대,주간야간,가을,겨울,봄,여름,교차로 ,기타 ,단일로 ,미분류 ,주차장 ,기타,승용,승합,이륜,특수차,피해운전자 상해정도
151,0,0.0,40,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,중상
152,0,1.0,70,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,경상
153,0,0.0,10,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,경상
154,1,1.0,50,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,중상
155,0,0.0,40,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,경상
156,0,1.0,60,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,중상
157,0,0.0,30,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,중상
158,0,0.0,10,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,경상
159,1,1.0,70,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,중상
160,0,1.0,20,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,중상
161,1,1.0,60,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,중상
162,0,0.0,50,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,중상
163,0,1.0,50,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,중상
164,0,1.0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,경상
165,0,0.0,30,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,중상
166,1,0.0,20,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,경상
167,0,1.0,70,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,중상
168,0,1.0,70,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,사망
169,0,0.0,10,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,경상
170,0,0.0,40,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,사망
171,1,0.0,70,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,중상
172,0,0.0,70,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,경상
173,0,0.0,40,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,사망
174,0,0.0,30,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,중상
175,0,0.0,10,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,경상
176,0,0.0,50,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,중상
177,1,0.0,50,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,중상
178,0,0.0,50,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,경상
179,1,0.0,50,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,중상
180,0,0.0,40,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,중상
181,0,0.0,40,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,중상
182,0,0.0,30,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,중상
183,0,0.0,30,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,중상
184,0,1.0,20,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,중상
185,1,0.0,20,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,중상
186,0,1.0,30,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,중상
187,1,1.0,80,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,경상
188,1,0.0,40,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,사망
189,0,0.0,20,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,중상
190,0,0.0,30,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,중상
191,1,0.0,40,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,경상
192,0,1.0,70,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,중상
193,0,0.0,80,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,경상
194,1,0.0,60,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,경상
195,0,0.0,40,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,중상
196,1,0.0,50,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,경상
197,0,0.0,40,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,중상
198,0,0.0,40,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,경상
199,0,1.0,30,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,경상
200,0,0.0,50,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,부상신고
201,0,0.0,50,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,사망
202,0,1.0,60,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,중상
203,0,0.0,30,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,중상
204,0,0.0,50,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,중상
205,1,0.0,30,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,경상
206,0,1.0,20,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,중상
207,0,0.0,50,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,중상
208,0,1.0,20,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,중상
209,0,0.0,40,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,중상
210,0,0.0,20,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,경상
211,0,0.0,60,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,중상
212,0,1.0,70,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,중상
213,0,0.0,50,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,경상
214,0,1.0,40,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,경상
215,0,0.0,20,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,중상
216,0,0.0,50,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,경상
217,1,1.0,70,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,중상
218,0,0.0,60,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,중상
219,0,0.0,20,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,중상
220,0,0.0,20,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,중상
221,0,0.0,70,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,경상
222,0,0.0,70,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,중상
223,0,0.0,50,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,부상신고
224,0,0.0,20,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,중상
225,0,0.0,40,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,중상
